src_id,zh,vi
377,写给自己的第377封信 已经不是你 你割舍不下的， 你就无法自拔了。,Bức thư viết cho chính mình số 377 Khi bạn phải hi sinh quá nhiều bạn không thế tự giải thoát được nữa.
383,写给自己的第383封信 对一个人最好的就是放下， 终有一天你会 无论再想念也不会去打扰。,"Bức thư viết cho chính mình số 383 Cách tốt nhất đối với một người là từ bỏ, cho dù có nhớ nhung thế nào cũng không nên làm phiền."
385,写给自己的第385封信 你等的那个人也在等你， 世上最幸福的就是： 你关心的那个人也在关 你想的那个人也在想你， 你爱的那个人也在爱你， 心你， 你懂的那个人更 懂你。,"Bức thư viết cho chính mình số 385 Niềm hạnh phúc nhất trên đời này là: Người bạn chờ đợi cũng đang đợi bạn, người bạn quan tâm cũng quan tâm đến bạn, người bạn đang nhớ cũng nhớ đến bạn, người bạn yêu cũng yêu bạn, người bạn biết còn hiếu bạn hơn chính bản thân mình."
391,写给自己的第391封信 爱更不是写在纸 爱不是三言两语的承诺， 爱也不是一天两天的陪伴， 说在嘴上的山盟海誓。,"Bức thư viết cho chính mình số 391 Tình yêu không phải là dựa vào một vài lời hứa, tình yêu cũng không phải là sự đồng hành trong một hai ngày, càng không phải những lời thề non hẹn biển trên giấy hay lời nói từ bờ môi."
402,写给自己的第402封信 念念不忘的不一定是爱， 也许是因为遗憾和不甘心。,"Bức thư viết cho chính mình số 402 Nhớ nhung không nhất thiết cứ phải là yêu, có lẽ chỉ là vì sự hối hận và không cam tâm."
410,写给自己的第410封信 必定有准备好的理由， 你没必要听他那些 如果一个人决定要离开你， 告别从前， 谋划许久冠冕堂皇的借口。,Brrc thưư viết cho chính mình số 410 Nếu một người quyết định rời xa bạn tất nhiên cũng phải chuẩn bị lí do chính đáng.
417,很多事情， 不是你想做就能做， 生孩子的第一步， 先要让自己有足够的条件。,"Rất nhiều việc không phải bạn muốn là có thể được, đầu tiên phải tạo cho mình những điều kiện cần trước."
421,写给自己的第421封信 是能够感觉到的，- 其实， 而且这种感觉相当真切和 一个人爱不爱你， 要学会转身。,Bức thư viết cho chính mình số 421 Thực ra một người có yêu bạn hay không bạn có thể cảm nhận được.
431,写给自己的第431封信 一生爱过的大部分人，都会从陌生变得熟悉， 不论你愿不愿意承认， “我爱你” 打动我们的不再是那句 又再从熟悉变得陌生……渐渐地， 而 “我陪你” 是一句 陪伴才是归宿。,"Bức thư viết cho chính mình số 431 Cho dù bạn có muốn thừa nhận hay không, hầu hết những ai đã từng yêu đều từ lạ thành quen, từ quen thuộc lại trở lại xa lạ..."
442,写给自己的第442封信 分寸感是成熟的爱的标志。,Bức thư viết cho chính mình số 442 Chừng mực là tiêu chuẩn cho sự trưởng thành của tình yêu.
442,这个距离意味着对于对方作为独立人格的尊重， 包括尊重对方独处的权利。,"Khoảng cách này có nghĩa là sự tôn trọng của cá nhân với tư cách người độc lập với người khác, bao gồm cả sự tôn trọng quyền sống một mình của đối phương."
447,写给自己的第447封信 走错了路， 人心都是相对的， 爱错了人， 要懂得放手。,"Bức thư viết cho chính mình số 447 Đi sai đường hãy nhớ cách quay lại, yêu nhầm người hãy biết cách từ bỏ."
450,写给自己的第450封信 但太长的等待， 真爱需要等待， 对爱情也是一种摧残。,Bức thư viết cho chính mình số 450 Tình yêu đích thực cần phải chờ đợi nhưng sự chờ đợi quá lâu cũng trở thành một sự mòn mỏi.
451,写给自己的第451封信 不会一直让你难过， 如果明知道这样做你不好受， 一个了解你的人， 这样的恶意和愚蠢就不该被原谅。,"Bức thư viết cho chính mình số 451 Một người hiểu bạn sẽ không làm cho bạn buồn, nếu biết rằng làm như vậy sẽ khiến bạn khó chịu, anh ta vẫn làm thì đó là việc ác ý và ngu ngốc nhất, tuyệt đối không đáng được tha thứ."
457,写给自己的第457封信 如果你想被别人爱， 你首先必须使自己值得爱， 一个星 不是一天， 而是永远。,"Bức thư viết cho chính mình số 457 Nếu như bạn muốn được yêu thì phải khiến mình trở nên để đáng yêu, không phải trong một ngày, một tuần mà là mãi mãi."
466,写给自己的第466封信 也不把他拉入黑名单， 你不删除他聊天记录， 真正的放下是， 只是任 再也懒得去点开。,"Bức thư viết cho chính mình số 466 Sự từ bỏ thực sự là bạn không xóa bỏ đi nhật kí tin nhắn với anh ta, cũng không đưa anh ta vào danh sách đen, chỉ để mặc anh ta trong hòm thư chắng thèm mở ra."
468,脚比鞋重要， 这是一条真理， 是鞋， 常常忘记。,"Đôi chân quan trọng hơn đôi giày, đó là chân lí mà nhiều người thường quên."
470,写给自己的第470封信 而是你寂寞的时候没有 不是你想念的人不在身边， 世界上最寂寞的， 而是有人值得你 世界上最幸福的， 不是有人把你捧在手心爱你， 人思念； 全心去爱。,Bức thư viết cho chính mình số 470 Điều cô đơn nhất trên thế gian này không phải người bạn nhớ không ở bên bạn mà là lúc bạn cô đơn không có ai nhớ tới.
474,写给自己的第474封信 有些人适合你但不爱， 想知道爱不爱， 有些人爱你却不适合。,"Bức thư viết cho chính mình số 474 Có những người hợp với bạn nhưng bạn lại không yêu, có những người bạn yêu lại không hợp với bạn."
483,写给自己的第483封信 与其藏在心底忍受绵长的痛苦， 爱从来就是一件千回百转的事， 不如 勇敢表白你的心迹。,"Bức thư viết cho chính mình số 483 Trước giờ tình yêu vốn luôn nhiều biến đối, thay vì giấu kĩ nỗi đau kéo dài trong tim, chỉ bằng dũng cảm nói lên tiếng lòng mình."
493,写给自己的第493封信 都并非突然做的决定。,Bức thư viết cho chính mình số 493 Bất kì một ai rời xa bạn đều không phải do họ đột nhiên quyết định như vậy.
